algoritmo;tamanho_mapa;tamanho_cluster;densidade_nome;densidade_configurada;densidade_real;semente;numero_mapa;tentativa_geracao_mapa;repeticao;encontrado;tempo_segundos;nos_expandidos;custo_total;passos_caminho;posicoes_caminho;nos_expandidos_abstratos;quantidade_portais;jump_points;nos_grafo_abstrato;arestas_grafo_abstrato;erro
A*;512;16;baixa;0.1;0.10010910034179688;53227;1;1;1;True;0.4923895000247285;44674;766.0113267570465;585;586;0;0;0;0;0;
JPS;512;16;baixa;0.1;0.10010910034179688;53227;1;1;1;True;0.7238661000155844;19929;766.0113267570462;585;586;0;0;20881;0;0;
HPA*;512;16;baixa;0.1;0.10010910034179688;53227;1;1;1;True;75.13775039999746;4429;799.4011537017764;642;643;3751;6196;0;12189;74006;
HPA-JPS;512;16;baixa;0.1;0.10010910034179688;53227;1;1;1;True;103.32018149999203;3952;799.4011537017764;642;643;3751;6196;1216246;12189;74006;
A*;512;16;media;0.2;0.19986343383789062;53237;1;1;1;True;1.1778837999736425;74226;812.2884553295713;664;665;0;0;0;0;0;
JPS;512;16;media;0.2;0.19986343383789062;53237;1;1;1;True;1.6239173999929335;35033;812.288455329571;664;665;0;0;35854;0;0;
HPA*;512;16;media;0.2;0.19986343383789062;53237;1;1;1;True;111.83995279998635;7992;836.3056992722712;705;706;6862;8100;0;15767;113229;
HPA-JPS;512;16;media;0.2;0.19986343383789062;53237;1;1;1;True;102.9280776999949;7272;836.3056992722712;705;706;6862;8100;2730544;15767;113229;
A*;512;16;alta;0.3;0.30155181884765625;53247;1;1;1;True;1.0664483000000473;92432;886.9676041556492;783;784;0;0;0;0;0;
JPS;512;16;alta;0.3;0.30155181884765625;53247;1;1;1;True;0.9346802000072785;40946;886.9676041556489;783;784;0;0;41526;0;0;
HPA*;512;16;alta;0.3;0.30155181884765625;53247;1;1;1;True;112.4888269000221;10348;902.6833329081851;807;808;8838;8450;0;16384;90804;
HPA-JPS;512;16;alta;0.3;0.30155181884765625;53247;1;1;1;True;112.35698839998804;9386;902.683332908185;807;808;8835;8450;3153739;16384;90804;
