tamanho_mapa;densidade_nome;algoritmo;execucoes;sucessos;taxa_sucesso;tempo_medio_segundos;desvio_tempo_segundos;nos_expandidos_medios;custo_medio;passos_medios;portais_medios;jump_points_medios;nos_abstratos_medios
32;alta;A*;2;2;1.0;0.0021001000131946057;2.672863405871687e-05;274.0;58.627416997969505;52.0;0.0;0.0;0.0
32;alta;HPA*;2;2;1.0;0.033612600003834814;8.103443677468633e-05;234.0;60.384776310850235;55.0;50.0;0.0;99.0
32;alta;HPA-JPS;2;2;1.0;0.0339042999985395;0.0010018288810041335;118.0;60.384776310850235;55.0;50.0;1715.0;99.0
32;alta;JPS;2;2;1.0;0.0022108499833848327;7.403406749579829e-05;106.0;58.627416997969505;52.0;0.0;131.0;0.0
32;baixa;A*;2;2;1.0;0.004142299992963672;0.00024847732162242025;325.0;49.69848480983499;41.0;0.0;0.0;0.0
32;baixa;HPA*;2;2;1.0;0.03400240000337362;6.92965806234341e-06;204.0;51.45584412271571;44.0;47.0;0.0;94.0
32;baixa;HPA-JPS;2;2;1.0;0.03742684998724144;0.0003550383223540804;91.0;51.45584412271571;44.0;47.0;1847.0;94.0
32;baixa;JPS;2;2;1.0;0.004059899991261773;0.0006368203800148377;139.0;49.698484809835;41.0;0.0;169.0;0.0
32;media;A*;2;2;1.0;0.0033359999943058938;0.0007000357342768847;334.0;50.28427124746189;42.0;0.0;0.0;0.0
32;media;HPA*;2;2;1.0;0.049038249999284744;0.0009779993862442313;292.0;53.21320343559643;47.0;57.0;0.0;111.0
32;media;HPA-JPS;2;2;1.0;0.053646750006009825;0.0007428156704346248;184.0;53.21320343559643;47.0;57.0;2983.0;111.0
32;media;JPS;2;2;1.0;0.003404849994694814;2.722361257452938e-05;146.0;50.28427124746189;42.0;0.0;188.0;0.0
64;alta;A*;2;2;1.0;0.011639550008112565;0.0005960203167613159;1398.0;111.94112549695424;102.0;0.0;0.0;0.0
64;alta;HPA*;2;2;1.0;0.2509163499926217;0.0098939088091151;458.0;114.87005768508878;107.0;252.0;0.0;481.0
64;alta;HPA-JPS;2;2;1.0;0.2598623999947449;0.0009377650127230667;342.0;114.87005768508878;107.0;252.0;12672.0;481.0
64;alta;JPS;2;2;1.0;0.013179850007873029;0.00010033843425524728;625.0;111.94112549695424;102.0;0.0;689.0;0.0
64;baixa;A*;2;2;1.0;0.006722150006680749;0.000781706551420957;630.0;94.95331880577395;73.0;0.0;0.0;0.0
64;baixa;HPA*;2;2;1.0;0.17615470000600908;0.008126778234871755;258.0;101.39696961966999;84.0;202.0;0.0;401.0
64;baixa;HPA-JPS;2;2;1.0;0.20072214999527205;0.0008963992803167036;195.0;101.39696961966999;84.0;202.0;7746.0;401.0
64;baixa;JPS;2;2;1.0;0.00944444999913685;0.0011939497952103055;218.0;94.95331880577397;73.0;0.0;309.0;0.0
64;media;A*;2;2;1.0;0.01387214999704156;0.0023872632100512253;1436.0;103.15432893255063;87.0;0.0;0.0;0.0
64;media;HPA*;2;2;1.0;0.2627364999934798;0.010973448699716322;498.0;106.66904755831214;93.0;258.0;0.0;497.0
64;media;HPA-JPS;2;2;1.0;0.2820235999970464;0.0016783886560243232;379.0;106.66904755831214;93.0;258.0;13970.0;497.0
64;media;JPS;2;2;1.0;0.01587610000569839;0.0005088340658857931;624.0;103.15432893255064;87.0;0.0;715.0;0.0
